icd_title,icd_code,test_tag
"Abnormal findings on examination of blood, without diagnosis",R70-R79,Others
"Abnormal findings on examination of blood, without diagnosis",R70-R79,Renal Function
"Abnormal findings on examination of blood, without diagnosis",R70-R79,Urinalysis
"Abnormal findings on examination of urine, without diagnosis",R80-R82,Others
"Abnormal findings on examination of urine, without diagnosis",R80-R82,Urinalysis
"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,Others
Injuries to the head,S00-S09,Blood Gas&Acid-Base
Injuries to the head,S00-S09,Cell Count
Injuries to the head,S00-S09,Coagulation
Injuries to the head,S00-S09,Electrolytes
Injuries to the head,S00-S09,Liver Function
Injuries to the head,S00-S09,Others
Injuries to the head,S00-S09,Renal Function
Injuries to the head,S00-S09,Urinalysis
Injuries to the neck,S10-S19,Others
Injuries to the thorax,S20-S29,Others
"Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,Others
Injuries to the shoulder and upper arm,S40-S49,Others
Injuries to the elbow and forearm,S50-S59,Cell Count
Injuries to the elbow and forearm,S50-S59,Coagulation
Injuries to the elbow and forearm,S50-S59,Electrolytes
Injuries to the elbow and forearm,S50-S59,Others
Injuries to the elbow and forearm,S50-S59,Renal Function
Injuries to the wrist and hand,S60-S69,Others
Injuries to the hip and thigh,S70-S79,Others
Injuries to the knee and lower leg,S80-S89,Cell Count
Injuries to the knee and lower leg,S80-S89,Coagulation
Injuries to the knee and lower leg,S80-S89,Electrolytes
Injuries to the knee and lower leg,S80-S89,Others
Injuries to the knee and lower leg,S80-S89,Renal Function
Injuries to the ankle and foot,S90-S99,Others
Injuries involving multiple body regions,T00-T07,Blood Gas&Acid-Base
Injuries involving multiple body regions,T00-T07,Cell Count
Injuries involving multiple body regions,T00-T07,Coagulation
Injuries involving multiple body regions,T00-T07,Electrolytes
Injuries involving multiple body regions,T00-T07,Liver Function
Injuries involving multiple body regions,T00-T07,Others
Injuries involving multiple body regions,T00-T07,Renal Function
"Injuries to unspecified part of trunk, limb or body region",T08-T14,Others
Effects of foreign body entering through natural orifice,T15-T19,Others
"Burns and corrosions of external body surface, specified by site",T20-T25,Others
Burns and corrosions,T20-T32,Cell Count
Burns and corrosions,T20-T32,Electrolytes
Burns and corrosions,T20-T32,Metabolic
Burns and corrosions,T20-T32,Others
Burns and corrosions,T20-T32,Renal Function
Burns and corrosions confined to eye and internal organs,T26-T28,Others
Burns and corrosions of multiple and unspecified body regions,T29-T32,Cell Count
Burns and corrosions of multiple and unspecified body regions,T29-T32,Electrolytes
Burns and corrosions of multiple and unspecified body regions,T29-T32,Metabolic
Burns and corrosions of multiple and unspecified body regions,T29-T32,Others
Burns and corrosions of multiple and unspecified body regions,T29-T32,Renal Function
Frostbite,T33-T35,Others
"Poisoning by drugs, medicaments and biological substances",T36-T50,Others
"Poisoning by drugs, medicaments and biological substances",T36-T50,Toxicology/Drug Level
Toxic effects of substances chiefly nonmedicinal as to source,T51-T65,Others
Toxic effects of substances chiefly nonmedicinal as to source,T51-T65,Toxicology/Drug Level
Other and unspecified effects of external causes,T66-T78,Others
Other and unspecified effects of external causes,T66-T78,Toxicology/Drug Level
Certain early complications of trauma,T79,Cell Count
Certain early complications of trauma,T79,Coagulation
Certain early complications of trauma,T79,Electrolytes
Certain early complications of trauma,T79,Liver Function
Certain early complications of trauma,T79,Metabolic
Certain early complications of trauma,T79,Others
Certain early complications of trauma,T79,Renal Function
"Complications of surgical and medical care, not elsewhere classified",T80-T88,Others
Provisional assignment of new diseases of uncertain etiology or emergency use,U00-U49,Infection Markers
Provisional assignment of new diseases of uncertain etiology or emergency use,U00-U49,Microbiology/Infection
Provisional assignment of new diseases of uncertain etiology or emergency use,U00-U49,Others
Pedestrian injured in transport accident,V01-V09,Others
Pedal cyclist injured in transport accident,V10-V19,Others
Motorcycle rider injured in transport accident,V20-V29,Others
Occupant of three-wheeled motor vehicle injured in transport accident,V30-V39,Others
Car occupant injured in transport accident,V40-V49,Others
Occupant of pick-up truck or van injured in transport accident,V50-V59,Others
Occupant of heavy transport vehicle injured in transport accident,V60-V69,Blood Gas&Acid-Base
Occupant of heavy transport vehicle injured in transport accident,V60-V69,Cell Count
Occupant of heavy transport vehicle injured in transport accident,V60-V69,Coagulation
Occupant of heavy transport vehicle injured in transport accident,V60-V69,Electrolytes
Occupant of heavy transport vehicle injured in transport accident,V60-V69,Liver Function
Occupant of heavy transport vehicle injured in transport accident,V60-V69,Others
Occupant of heavy transport vehicle injured in transport accident,V60-V69,Renal Function
Occupant of heavy transport vehicle injured in transport accident,V60-V69,Urinalysis
Bus occupant injured in transport accident,V70-V79,Others
Other land transport accidents,V80-V89,Others
Water transport accidents,V90-V94,Others
Air and space transport accidents,V95-V97,Others
Other and unspecified transport accidents,V98-V99,Others
Falls,W00-W19,Others
Exposure to inanimate mechanical forces,W20-W49,Others
Exposure to animate mechanical forces,W50-W64,Others
Accidental drowning and submersion,W65-W74,Others
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",W85-W99,Blood Gas&Acid-Base
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",W85-W99,Cell Count
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",W85-W99,Coagulation
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",W85-W99,Electrolytes
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",W85-W99,Liver Function
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",W85-W99,Others
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",W85-W99,Renal Function
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",W85-W99,Toxicology/Drug Level
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",W85-W99,Urinalysis
"Exposure to smoke, fire and flames",X00-X09,Others
"Exposure to smoke, fire and flames",X00-X09,Toxicology/Drug Level
Contact with heat and hot substances,X10-X19,Others
Exposure to forces of nature,X30-X39,Others
Exposure to forces of nature,X30-X39,Toxicology/Drug Level
"Overexertion, travel and privation",X50-X57,Others
Accidental exposure to other and unspecified factors,X58-X59,Others
Accidental exposure to other and unspecified factors,X58-X59,Toxicology/Drug Level
Intentional self-harm,X60-X84,Blood Gas&Acid-Base
Intentional self-harm,X60-X84,Cell Count
Intentional self-harm,X60-X84,Coagulation
Intentional self-harm,X60-X84,Electrolytes
Intentional self-harm,X60-X84,Liver Function
Intentional self-harm,X60-X84,Metabolic
Intentional self-harm,X60-X84,Others
Intentional self-harm,X60-X84,Renal Function
Intentional self-harm,X60-X84,Toxicology/Drug Level
Intentional self-harm,X60-X84,Urinalysis
Assault,X85-Y09,Others
Event of undetermined intent,Y10-Y34,Others
Event of undetermined intent,Y10-Y34,Toxicology/Drug Level
Legal intervention and operations of war,Y35-Y36,Others
Complications of medical and surgical care,Y40-Y84,Others
Misadventures to patients during surgical and medical care,Y60-Y69,Others
Medical devices associated with adverse incidents in diagnostic and therapeutic use,Y70-Y82,Others
"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Y83-Y84,Others
Supplementary factors related to causes of morbidity and mortality classified elsewhere,Y90-Y98,Others
Persons with potential health hazards related to communicable diseases,Z20-Z29,Infection Markers
Persons with potential health hazards related to communicable diseases,Z20-Z29,Microbiology/Infection
Persons with potential health hazards related to communicable diseases,Z20-Z29,Others
Persons encountering health services in other circumstances,Z70-Z76,Others
Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Others
